State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions),Percentage Deaths,Risk
Alabama,1999,39,4430141,0.9,0.6,1.2,116,0.0008803331541817744,0
Alabama,2000,46,4447100,1,0.8,1.4,126,0.0010343819567808234,0
Alabama,2001,67,4467634,1.5,1.2,1.9,138,0.0014996752195905036,0
Alabama,2002,75,4480089,1.7,1.3,2.1,142,0.0016740738855857552,0
Alabama,2003,54,4503491,1.2,0.9,1.6,149,0.0011990697883042288,0
Alabama,2004,92,4530729,2,1.6,2.5,155,0.002030578302078981,0
Alabama,2005,83,4569805,1.8,1.4,2.3,163,0.0018162700596633774,0
Alabama,2006,134,4628981,2.9,2.4,3.4,174,0.002894805573840117,0
Alabama,2007,172,4672840,3.7,3.1,4.2,184,0.003680845053543455,1
Alabama,2008,195,4718206,4.1,3.6,4.7,196,0.004132926794633384,1
Alabama,2009,210,4757938,4.4,3.8,5,202,0.004413676680948764,1
Alabama,2010,194,4779736,4.1,3.5,4.6,210,0.004058801573978144,1
Alabama,2011,180,4802740,3.7,3.2,4.3,219,0.003747860596242978,1
Alabama,2012,175,4822023,3.6,3.1,4.2,217,0.0036291821917896288,1
Alabama,2013,175,4833722,3.6,3.1,4.2,207,0.003620398525194457,1
Alabama,2014,282,4849377,5.8,5.1,6.5,196,0.005815179970540546,1
Alaska,1999,28,624779,4.5,3,6.5,116,0.004481584688345799,1
Alaska,2000,27,626932,4.3,2.8,6.3,126,0.004306687168624348,1
Alaska,2006,29,675302,4.3,2.9,6.2,174,0.004294374961128502,1
Alaska,2008,94,687455,13.7,11,16.7,196,0.0136736222734579,2
Alaska,2009,94,698895,13.4,10.9,16.5,202,0.013449802903154265,2
Alaska,2010,71,710231,10,7.8,12.6,210,0.009996747537068924,1
Alaska,2011,72,722718,10,7.8,12.5,219,0.009962391970312071,1
Alaska,2012,81,731449,11.1,8.8,13.8,217,0.011073909459169402,2
Alaska,2013,69,735132,9.4,7.3,11.9,207,0.00938606944059026,1
Alaska,2014,79,736732,10.7,8.5,13.4,196,0.010723030898617137,2
Arizona,1999,250,5023823,5,4.4,5.6,116,0.004976289968814586,1
Arizona,2000,249,5130632,4.9,4.3,5.5,126,0.004853203270084466,1
Arizona,2001,275,5273477,5.2,4.6,5.8,138,0.005214775754213017,1
Arizona,2002,340,5396255,6.3,5.6,7,142,0.006300665924794139,1
Arizona,2003,350,5510364,6.4,5.7,7,149,0.006351667512345827,1
Arizona,2004,360,5652404,6.4,5.7,7,155,0.006368971503098504,1
Arizona,2005,393,5839077,6.7,6.1,7.4,163,0.006730515798986723,1
Arizona,2006,479,6029141,7.9,7.2,8.7,174,0.007944747021175985,1
Arizona,2007,490,6167681,7.9,7.2,8.6,184,0.007944639160164087,1
Arizona,2008,515,6280362,8.2,7.5,8.9,196,0.008200164258047546,1
Arizona,2009,625,6343154,9.9,9.1,10.6,202,0.009853142458783123,1
Arizona,2010,650,6392017,10.2,9.4,11,210,0.010168934156464228,2
Arizona,2011,596,6482505,9.2,8.5,9.9,219,0.009193976711163355,1
Arizona,2012,565,6553255,8.6,7.9,9.3,217,0.008621669689337589,1
Arizona,2013,545,6626624,8.2,7.5,8.9,207,0.008224399030335809,1
Arizona,2014,616,6731484,9.2,8.4,9.9,196,0.00915102821309536,1
Arkansas,1999,29,2651860,1.1,0.7,1.6,116,0.0010935720588568024,0
Arkansas,2000,20,2673400,0.7,0.5,1.2,126,0.0007481110196753198,0
Arkansas,2001,30,2691571,1.1,0.8,1.6,138,0.0011145906981461756,0
Arkansas,2002,96,2705927,3.5,2.9,4.3,142,0.0035477675487919666,1
Arkansas,2003,98,2724816,3.6,2.9,4.4,149,0.0035965731264055996,1
Arkansas,2004,133,2749686,4.8,4,5.7,155,0.004836915924218256,1
Arkansas,2005,127,2781097,4.6,3.8,5.4,163,0.0045665433460249675,1
Arkansas,2006,149,2821761,5.3,4.4,6.1,174,0.005280390507913321,1
Arkansas,2007,156,2848650,5.5,4.6,6.3,184,0.00547627823705966,1
Arkansas,2008,210,2874554,7.3,6.3,8.3,196,0.007305481128550725,1
Arkansas,2009,221,2896843,7.6,6.6,8.6,202,0.0076289947366840385,1
Arkansas,2010,198,2915918,6.8,5.8,7.7,210,0.006790314405274771,1
Arkansas,2011,176,2937979,6,5.1,6.9,219,0.005990512525787284,1
Arkansas,2012,181,2949131,6.1,5.2,7,217,0.006137401153085434,1
Arkansas,2013,175,2959373,5.9,5,6.8,207,0.0059134147672496844,1
Arkansas,2014,179,2966369,6,5.2,6.9,196,0.006034313330539795,1
California,1999,1598,33499204,4.8,4.5,5,116,0.004770262600866576,1
California,2000,1105,33871648,3.3,3.1,3.5,126,0.0032623154326591962,1
California,2001,605,34479458,1.8,1.6,1.9,138,0.0017546679533071547,0
California,2002,1583,34871843,4.5,4.3,4.8,142,0.004539479028969017,1
California,2003,1530,35253159,4.3,4.1,4.6,149,0.004340036590763398,1
California,2004,1547,35574576,4.3,4.1,4.6,155,0.004348611210432979,1
California,2005,1485,35827943,4.1,3.9,4.4,163,0.004144809541535778,1
California,2006,1602,36021202,4.4,4.2,4.7,174,0.0044473807398209535,1
California,2007,1762,36250311,4.9,4.6,5.1,184,0.004860647954165138,1
California,2008,1889,36604337,5.2,4.9,5.4,196,0.005160590669897941,1
California,2009,2128,36961229,5.8,5.5,6,202,0.00575738431208551,1
California,2010,2059,37253956,5.5,5.3,5.8,210,0.005526929811158847,1
California,2011,2057,37691912,5.5,5.2,5.7,219,0.005457404230382369,1
California,2012,1847,38041430,4.9,4.6,5.1,217,0.004855232834307228,1
California,2013,2088,38332521,5.4,5.2,5.7,207,0.005447071952298676,1
California,2014,2159,38802500,5.6,5.3,5.8,196,0.00556407447973713,1
Colorado,1999,169,4226018,4,3.4,4.6,116,0.003999036445183149,1
Colorado,2000,184,4301261,4.3,3.7,4.9,126,0.004277815273241963,1
Colorado,2001,204,4425687,4.6,4,5.2,138,0.004609453854282962,1
Colorado,2002,206,4490406,4.6,4,5.2,142,0.004587558452398291,1
Colorado,2003,229,4528732,5.1,4.4,5.7,149,0.00505660304032122,1
Colorado,2004,233,4575013,5.1,4.4,5.7,155,0.005092881703286964,1
Colorado,2005,310,4631888,6.7,5.9,7.4,163,0.00669273523021282,1
Colorado,2006,337,4720423,7.1,6.4,7.9,174,0.007139190703883953,1
Colorado,2007,368,4803868,7.7,6.9,8.4,184,0.0076604935855856164,1
Colorado,2008,365,4889730,7.5,6.7,8.2,196,0.007464624836136147,1
Colorado,2009,412,4972195,8.3,7.5,9.1,202,0.008286078884677693,1
Colorado,2010,325,5029196,6.5,5.8,7.2,210,0.006462265539064295,1
Colorado,2011,423,5116796,8.3,7.5,9.1,219,0.0082668920160194,1
Colorado,2012,415,5187582,8,7.2,8.8,217,0.00799987354416759,1
Colorado,2013,443,5268367,8.4,7.6,9.2,207,0.008408677679440328,1
Colorado,2014,532,5355866,9.9,9.1,10.8,196,0.009933034172251509,1
